Coutry;City;Borough;Neighbourhood;Area;Population;Density
Hungary;Budapest;District XVII;Rákoskeresztúr, Rákoscsaba, Rákoscsaba-Újtelep, Rákosliget, Rákoshegy, Rákoskert, Akadémiaújtelep, Madárdomb, Régiakadémiatelep;54.83;78,537;1,432
Hungary;Budapest;District XVIII;Pestszentlőrinc, Pestszentimre;38.61;94,663;2,452
Hungary;Budapest;District XIX;Kispest, Wekerletelep;9.38;62,210;6,632
Hungary;Budapest;District XX;Gubacsipuszta, Kossuthfalva, Pacsirtatelep, Pesterzsébet, Pesterzsébet-Szabótelep;12.18;63,887;5,245
Hungary;Budapest;District XXI;Csepel;25.75;76,976;2,989
Hungary;Budapest;District XXII;Budatétény, Nagytétény, Budafok;34.25;51,071;1,491
Hungary;Budapest;District XXIII;Soroksár;40.78;19,982;490
Sweden;Stockholm;Älvsjö;;9.11;27,500;3,019
Sweden;Stockholm;Bromma;;25.99;72,000;2,770
Sweden;Stockholm;Enskede-Årsta-Vantör;;;96,916;#DIV/0!
Sweden;Stockholm;Farsta;;15.40;55,300;3,591
Sweden;Stockholm;Hägersten-Liljeholmen;;;83,283;#DIV/0!
Sweden;Stockholm;Hässelby-Vällingby;;19.6;71,042;3,625
Sweden;Stockholm;Kungsholmen;;4.85;68,016;14,024
Sweden;Stockholm;Norrmalm;;4.95;69,592;14,059
Sweden;Stockholm;Östermalm;;18.00;61,253;3,403
